GRE,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
311.0,107.0,8.95,24.0,Fall 2018,neu,2
330.0,116.0,8.57,12.0,Fall 2018,neu,2
304.0,105.0,8.01,31.0,Fall 2018,neu,2
320.0,102.0,8.3,6.0,Fall 2018,neu,2
325.0,113.0,6.9,12.0,Fall 2018,neu,2
319.0,108.0,76.0,48.0,Fall 2018,neu,2
319.0,112.0,8.54,4.0,Fall 2018,neu,2
326.0,111.0,6.91,1.0,Fall 2018,neu,2
309.0,105.0,8.3,0.0,Fall 2018,neu,2
320.0,117.0,8.42,2.0,Fall 2018,neu,2
307.0,111.0,74.88,40.0,Fall 2017,neu,2
